Jul 10,	3h 35m,	8:57 Pm,	12:46 Am,
Jul 9,	5h 10m,	10:13 Pm,	3:31 Am,
Jul 8,	3h 35m,	9:13 Pm,	1:02 Am,
Jul 7,	5h 55m,	10:48 Pm,	4:47 Am,
Jul 6,	4h 1m,	2:43 Am,	6:46 Am,
Jul 5,	10h 12m,	9:06 Pm,	7:21 Am,
Jul 4,	5h 49m,	9:50 Pm,	3:41 Am,
Jul 3,	6h 58m,	10:02 Pm,	5:07 Am,
Jul 2,	9h 42m,	9:01 Pm,	6:46 Am,
Jul 1,	10h 11m,	8:42 Pm,	7:01 Am,
Jun 30,	6h 25m,	10:09 Pm,	4:40 Am,
Jun 29,	8h 6m,	9:45 Pm,	6:08 Am,
Jun 28,	5h 56m,	10:39 Pm,	4:43 Am,
Jun 27,	9h 35m,	9:37 Pm,	7:19 Am,
Jun 26,	6h 0m,	1:22 Am,	7:31 Am,
Jun 25,	8h 42m,	10:31 Pm,	7:19 Am,
Jun 24,	11h 3m,	9:41 Pm,	8:46 Am,
Jun 23,	5h 28m,	8:52 Pm,	2:27 Am,
Jun 22,	11h 9m,	10:08 Pm,	9:26 Am,
Jun 21,	9h 27m,	8:37 Pm,	6:11 Am,
Jun 20,	5h 58m,	12:15 Am,	6:18 Am,
Jun 19,	7h 19m,	9:46 Pm,	5:16 Am,
Jun 18,	10h 57m,	9:38 Pm,	8:36 Am,
Jun 17,	8h 21m,	9:36 Pm,	6:00 Am,
Jun 16,	10h 20m,	9:53 Pm,	8:15 Am,
Jun 15,	9h 45m,	10:39 Pm,	8:26 Am,
Jun 14,	7h 59m,	11:42 Pm,	7:43 Am,
Jun 13,	9h 31m,	9:22 Pm,	6:53 Am,